lncRNAId	lncRNAName	our	our_p	our_m	fantom	fantom_p	fantom_m	intersection	mm_intersection	mp_intersection	pm_intersection	pp_intersection
ENSG00000257219_ASO_G0257219_AD_10	RP11-54A9.1	6519	2987	4189	11	1	10	7	4	1	2	0
ENSG00000260032_ASO_G0260032_AD_01	LINC00657	6282	2362	4235	884	379	505	232	105	61	57	23
ENSG00000234546_ASO_G0234546_07	RP3-510D11.2	2425	1563	946	352	92	260	35	10	6	15	6
ENSG00000268895_ASO_G0268895_01	A1BG-AS1	6891	2563	4768	1035	505	530	384	158	81	136	44
ENSG00000271270_ASO_G0271270_09	TMCC1-AS1	208	77	131	1118	429	689	21	7	2	12	0
ENSG00000256268_ASO_G0256268_AD_03	RP11-221N13.3	5183	2924	2579	2	0	2	1	0	0	1	0
ENSG00000269834_ASO_G0269834_AD_06	CTD-3018O17.3	2557	809	1765	70	34	36	11	3	4	1	3
ENSG00000212978_ASO_G0212978_01	AC016747.3	8448	3500	5961	31	7	24	21	12	0	13	1
ENSG00000257219_ASO_G0257219_AD_05	RP11-54A9.1	6519	2987	4189	220	68	152	84	36	15	30	12
ENSG00000228526_ASO_G0228526_10	RP3-510D11.1	2467	1402	1130	14	6	8	3	1	1	1	0
ENSG00000240875_ASO_G0240875_10	LINC00886	1040	289	758	28	18	10	5	2	0	0	3
ENSG00000269834_ASO_G0269834_02	CTD-3018O17.3	2557	809	1765	78	16	62	11	6	0	5	0
ENSG00000214548_ASO_G0214548_01	MEG3	10465	3377	8242	1595	1154	441	851	202	477	109	162
ENSG00000214548_ASO_G0214548_AD_06	MEG3	10465	3377	8242	2	0	2	1	1	0	0	0
ENSG00000256268_ASO_G0256268_AD_07	RP11-221N13.3	5183	2924	2579	654	313	341	172	53	37	54	40
ENSG00000229647_ASO_G0229647_06	AC007879.7	6059	2872	3704	97	26	71	46	27	3	24	1
ENSG00000234546_ASO_G0234546_02	RP3-510D11.2	2425	1563	946	25	10	15	3	1	0	3	0
ENSG00000246430_ASO_G0246430_03	LINC00968	3957	1422	2665	1398	555	843	359	233	43	64	37
ENSG00000253161_ASO_C013368_01	RP11-150O12.1	5655	3334	2686	118	36	82	30	10	4	10	7
ENSG00000229852_ASO_G0229852_05	RP11-398K22.12	1376	884	502	112	15	97	18	2	2	14	0
ENSG00000225733_ASO_G0225733_AD_03	FGD5-AS1	5484	1948	3789	815	331	484	264	120	65	83	16
ENSG00000203706_ASO_G0203706_01	SERTAD4-AS1	6	5	1	988	506	482	1	0	0	1	0
ENSG00000233117_ASO_G0233117_02	LINC00702	4078	2068	2116	1533	869	664	362	166	41	95	74
ENSG00000246089_ASO_G0246089_02	RP11-115C21.2	3237	1560	1754	32	1	31	5	1	1	3	0
ENSG00000256268_ASO_G0256268_AD_06	RP11-221N13.3	5183	2924	2579	90	24	66	29	9	1	18	3
ENSG00000223478_ASO_G0223478_03	RP11-545E17.3	524	127	397	407	183	224	6	5	1	0	0
ENSG00000234608_ASO_G0234608_06	MAPKAPK5-AS1	20	4	16	1392	555	837	5	4	0	1	0
ENSG00000227053_ASO_G0227053_03	RP11-395B7.4	562	297	269	2693	1143	1550	120	43	16	50	12
ENSG00000205181_ASO_G0205181_01	LINC00654	4168	1580	2723	105	17	88	29	19	2	10	1
ENSG00000229847_ASO_G0229847_AD_04	EMX2OS	35	32	3	3918	1675	2243	4	0	0	2	2
ENSG00000212978_ASO_G0212978_02	AC016747.3	8448	3500	5961	90	34	56	33	5	8	15	6
ENSG00000229852_ASO_G0229852_03	RP11-398K22.12	1376	884	502	1028	432	596	86	20	14	43	10
ENSG00000253161_ASO_C013368_02	RP11-150O12.1	5655	3334	2686	1880	935	945	560	139	108	201	146
ENSG00000234456_ASO_G0234456_04	MAGI2-AS3	6399	2670	4139	52	9	43	23	8	3	15	0
ENSG00000246430_ASO_G0246430_AD_03	LINC00968	3957	1422	2665	6	0	6	2	0	0	2	0
ENSG00000240875_ASO_G0240875_02	LINC00886	1040	289	758	343	183	160	22	15	4	0	3
ENSG00000233117_ASO_G0233117_04	LINC00702	4078	2068	2116	5	1	4	1	1	0	0	0
ENSG00000233527_ASO_G0233527_02	AC092295.7	2	1	1	6363	3341	3022	1	0	1	0	0
ENSG00000233396_ASO_G0233396_02	RP11-458D21.1	2525	721	1835	12	0	12	1	0	0	1	0
ENSG00000225733_ASO_G0225733_AD_06	FGD5-AS1	5484	1948	3789	160	31	129	59	32	2	27	4
ENSG00000269834_ASO_G0269834_AD_02	CTD-3018O17.3	2557	809	1765	95	41	54	12	6	2	3	1
ENSG00000270069_ASO_G0270069_05	RP6-99M1.2	4741	2924	2002	2	0	2	1	0	0	1	0
ENSG00000229852_ASO_G0229852_AD_01	RP11-398K22.12	1376	884	502	3	2	1	1	0	0	1	0
ENSG00000260032_ASO_G0260032_AD_06	LINC00657	6282	2362	4235	406	213	193	64	31	14	7	14
ENSG00000237187_ASO_G0237187_03	NR2F1-AS1	11814	3876	9448	6	0	6	6	5	0	1	0
ENSG00000230630_ASO_G0230630_AD_04	DNM3OS	10167	4011	7106	1150	511	639	657	371	126	137	102
ENSG00000227036_ASO_G0227036_04	LINC00511	2882	1698	1221	680	429	251	109	27	31	32	20
ENSG00000214548_ASO_G0214548_AD_09	MEG3	10465	3377	8242	1960	980	980	1057	325	519	141	199
ENSG00000223485_ASO_G0223485_AD_06	RP11-417E7.1	7618	3525	4931	42	35	7	2	1	1	0	1
ENSG00000237187_ASO_G0237187_AD_08	NR2F1-AS1	11814	3876	9448	58	56	2	18	2	12	0	4
ENSG00000234456_ASO_G0234456_01	MAGI2-AS3	6399	2670	4139	26	1	25	10	6	1	4	0
ENSG00000246067_ASO_G0246067_AD_06	RAB30-AS1	16	14	2	8966	4597	4369	11	2	0	6	3
ENSG00000233901_ASO_G0233901_05	RP11-65J3.1	14	4	10	4513	2061	2452	5	4	1	0	0
ENSG00000225733_ASO_G0225733_03	FGD5-AS1	5484	1948	3789	14	0	14	2	1	0	1	0
ENSG00000257219_ASO_G0257219_09	RP11-54A9.1	6519	2987	4189	6	0	6	3	1	0	3	0
ENSG00000233396_ASO_G0233396_07	RP11-458D21.1	2525	721	1835	7751	3613	4138	1030	320	447	190	86
ENSG00000204054_ASO_G0204054_06	LINC00963	3026	1402	1707	977	417	560	182	77	38	53	26
ENSG00000204054_ASO_G0204054_01	LINC00963	3026	1402	1707	2	0	2	1	0	0	1	0
ENSG00000225733_ASO_G0225733_04	FGD5-AS1	5484	1948	3789	330	157	173	106	32	28	24	27
ENSG00000268895_ASO_G0268895_03	A1BG-AS1	6891	2563	4768	3044	1228	1816	1125	581	238	284	132
ENSG00000223485_ASO_G0223485_01	RP11-417E7.1	7618	3525	4931	3821	2000	1821	1411	661	306	485	166
ENSG00000229847_ASO_G0229847_AD_02	EMX2OS	35	32	3	1410	91	1319	5	0	0	5	0
ENSG00000223485_ASO_G0223485_AD_04	RP11-417E7.1	7618	3525	4931	4157	1841	2316	1556	648	400	410	262
ENSG00000186615_ASO_G0186615_04	KTN1-AS1	40	25	15	398	196	202	1	0	0	1	0
ENSG00000237187_ASO_G0237187_AD_01	NR2F1-AS1	11814	3876	9448	2	0	2	2	0	0	2	0
ENSG00000240875_ASO_G0240875_03	LINC00886	1040	289	758	843	408	435	55	23	18	7	7
ENSG00000212978_ASO_G0212978_03	AC016747.3	8448	3500	5961	887	382	505	392	163	113	131	48
ENSG00000227053_ASO_G0227053_04	RP11-395B7.4	562	297	269	709	285	424	31	13	2	15	1
ENSG00000229647_ASO_G0229647_AD_09	AC007879.7	6059	2872	3704	2	0	2	1	0	0	1	0
