lncRNAId	lncRNAName	pvalue	mm_pvalue	mp_pvalue	pm_pvalue	pp_pvalue
ENSG00000268895_ASO_G0268895_01	A1BG-AS1	2.6504002203947556e-10	4.031539975393983e-08	0.2598528341781055	2.2345817322601305e-22	0.9661319722146922
ENSG00000271270_ASO_G0271270_09	TMCC1-AS1	0.001543559476596052	0.2065374288173185	1.0	7.495942998204569e-06	1.0
ENSG00000212978_ASO_G0212978_01	AC016747.3	0.0005208411557480674	0.020742091236675426	0.5505000361108932	2.2412141422844736e-05	1.0
ENSG00000257219_ASO_G0257219_AD_05	RP11-54A9.1	0.00036089037222346586	0.07519393970549648	0.6136940688855336	0.016189488691626702	0.8172112452872375
ENSG00000240875_ASO_G0240875_10	LINC00886	0.012008445595604957	0.07999832910908336	1.0	1.0	0.019586593591832922
ENSG00000214548_ASO_G0214548_01	MEG3	8.997336737302239e-19	3.48733129551152e-07	1.8403804115486818e-07	3.304830748441714e-09	1.0
ENSG00000256268_ASO_G0256268_AD_07	RP11-221N13.3	0.002279998652370397	0.011376044292454677	0.8175695780061895	0.057909485343889025	1.0
ENSG00000229647_ASO_G0229647_06	AC007879.7	5.074397872838299e-06	9.857497189772773e-06	1.0	4.681192311453239e-06	1.0
ENSG00000246430_ASO_G0246430_03	LINC00968	1.6690703883769512e-20	2.2239274447724872e-42	0.1273401720271441	0.05741368268219817	1.0
ENSG00000229852_ASO_G0229852_05	RP11-398K22.12	0.00015872632353190242	1.0	0.18784005572006668	3.903002885970757e-05	1.0
ENSG00000225733_ASO_G0225733_AD_03	FGD5-AS1	5.550274235042762e-11	3.286945044443604e-07	0.1868659616550177	2.4130565481081195e-10	0.338798324895309
ENSG00000233117_ASO_G0233117_02	LINC00702	1.1612025691003096e-12	1.2104986129213804e-36	0.0001255365115189849	1.6919124098270765e-06	1.0
ENSG00000256268_ASO_G0256268_AD_06	RP11-221N13.3	0.023689101115153818	0.6845707028608494	0.9707416289212335	0.0023038851850222027	1.0
ENSG00000234608_ASO_G0234608_06	MAPKAPK5-AS1	0.009562059998584997	0.006592269127385274	1.0	0.21678375784980272	1.0
ENSG00000227053_ASO_G0227053_03	RP11-395B7.4	2.869259590954545e-12	1.1388959045089655e-07	0.677391797956351	1.3809533529025734e-09	1.0
ENSG00000205181_ASO_G0205181_01	LINC00654	0.012008445595604957	0.011723646006076928	1.0	0.13607201989668646	1.0
ENSG00000212978_ASO_G0212978_02	AC016747.3	0.7076934385217504	0.02108796216126377	1.0	0.029443539196638526	1.0
ENSG00000229852_ASO_G0229852_03	RP11-398K22.12	0.000494804906776989	0.07098412305104422	0.299873488952345	6.38947887013619e-05	0.8172112452872375
ENSG00000253161_ASO_C013368_02	RP11-150O12.1	4.157444602005422e-12	0.0009792521795570594	0.9590537719005725	2.452023995908689e-10	0.3930224038960092
ENSG00000234456_ASO_G0234456_04	MAGI2-AS3	0.009267251499036929	1.0	0.4977285500170653	9.368252497793163e-05	1.0
ENSG00000240875_ASO_G0240875_02	LINC00886	0.09635444253494684	0.0006306823666917676	1.0	0.38813034018460474	1.0
ENSG00000225733_ASO_G0225733_AD_06	FGD5-AS1	8.598563018698335e-05	0.015082194131088477	0.5527419975304143	1.1789302083416368e-05	1.0
ENSG00000260032_ASO_G0260032_AD_06	LINC00657	1.1772373971707085e-05	1.0	0.0001255365115189849	0.008325846207089548	0.7853779389570386
ENSG00000230630_ASO_G0230630_AD_04	DNM3OS	2.7704415134051807e-27	2.3326941500883266e-53	0.18784005572006668	0.0016102301233341689	0.2845443459632168
ENSG00000227036_ASO_G0227036_04	LINC00511	0.0014938638501844036	0.000784498156825363	0.1868659616550177	0.0028108923767405244	0.423138181691828
ENSG00000214548_ASO_G0214548_AD_09	MEG3	1.975001365113581e-25	1.0	4.794291553769704e-36	0.6354429765676546	2.038637563588904e-07
ENSG00000233901_ASO_G0233901_05	RP11-65J3.1	0.2535157602636837	0.0343679735271482	1.0	1.0	1.0
ENSG00000233396_ASO_G0233396_07	RP11-458D21.1	1.0043440496469603e-24	0.6845707028608494	8.269387553462951e-29	4.6063698860720337e-10	0.338798324895309
ENSG00000204054_ASO_G0204054_06	LINC00963	2.1763223241680916e-08	7.853090306693302e-08	0.299873488952345	0.000969657610250314	1.0
ENSG00000225733_ASO_G0225733_04	FGD5-AS1	0.00011653850337979401	0.4818838132673771	0.789166482658197	0.01730734079451739	0.0030344121254058816
ENSG00000268895_ASO_G0268895_03	A1BG-AS1	2.540029721202365e-29	1.0015906847611097e-39	1.0	1.4310233786607635e-11	1.0
ENSG00000223485_ASO_G0223485_01	RP11-417E7.1	2.0568960218909992e-17	3.0812633663572103e-62	4.12247826912691e-07	2.9563077842213107e-45	2.0781355097694636e-15
ENSG00000223485_ASO_G0223485_AD_04	RP11-417E7.1	3.798656630813751e-22	1.8800497892436226e-21	0.24096771051558094	7.40938385896392e-06	1.0
ENSG00000240875_ASO_G0240875_03	LINC00886	0.0037293826412252242	0.03159305040136436	0.38407807592895454	0.48125160849278675	1.0
ENSG00000212978_ASO_G0212978_03	AC016747.3	1.9190072668935013e-09	0.00016496139061941348	0.10326228009808157	4.3195110248821316e-11	1.0
ENSG00000227053_ASO_G0227053_04	RP11-395B7.4	0.0018670256784038429	0.0033503724784188166	1.0	0.0007660577174462697	1.0
