chr.names	query.population	reference.population	relative.distances.ks.p.value	relative.distances.ecdf.deviation.area	relative.distances.ecdf.area.correlation	relative.distances.ecdf.deviation.area.p.value	scaled.absolute.min.distance.sum.p.value	scaled.absolute.min.distance.sum.lower.tail	jaccard.measure.p.value	jaccard.measure.lower.tail	projection.test.p.value	projection.test.lower.tail	projection.test.obs.to.exp	lnc
awhole	12	624	0.761701796266927	0.0346861350766414	0.0800655051631958	0.636	0.298	True	0.014	False	0.00132828427343035	False	18.295859959260603	ENSG00000229647_ASO_G0229647_06
awhole	127	474	0.0126335629215479	0.0375135283746282	0.14864195171329503	0.001	0.0	True	0.139	False	0.0152451368550224	False	5.36848657761856	ENSG00000253161_ASO_C013368_02
awhole	689	846	0.396510396580065	0.00575992734705254	-0.0174090872292567	0.439	0.001	True	0.0610000000000001	False	0.0045248035408606	False	2.58546959492582	ENSG00000234456_ASO_G0234456_01
awhole	7	164	0.505580200535564	0.0437288789414213	-0.11261739205047801	0.691	0.248	True	0.00600000000000001	False	0.007221258377273941	False	0.0	ENSG00000267577_ASO_G0267577_01
awhole	3	8	0.302720509701192	0.11028148430655198	0.225487900148202	0.254	0.45	True	0.0	False	0.0008846858080509	False	0.0	ENSG00000233396_ASO_G0233396_07
awhole	5760	612	0.00015978617810485902	0.007323957170411521	0.0293845194595981	0.0	0.0	True	0.011	False	7.55016382747442e-09	False	2.9075570544119103	ENSG00000214548_ASO_G0214548_AD_09
awhole	7	164	0.505580200535564	0.0437288789414213	-0.11261739205047801	0.691	0.248	True	0.00600000000000001	False	0.007221258377273941	False	0.0	ENSG00000267577_ASO_G0267577_03
awhole	5760	612	0.00015978617810485902	0.007323957170411521	0.0293845194595981	0.0	0.0	True	0.014	False	7.55016382747442e-09	False	2.9075570544119103	ENSG00000214548_ASO_G0214548_01
awhole	44	3135	0.0116806665235355	0.0570908415783648	0.22465219938097802	0.008000000000000009	0.01	True	0.168	False	0.18830346130214698	False	1.2597110553850301	ENSG00000257219_ASO_G0257219_AD_05
awhole	44	3135	0.0116806665235355	0.0570908415783648	0.22465219938097802	0.008000000000000009	0.01	True	0.168	False	0.18830346130214698	False	1.2597110553850301	ENSG00000257219_ASO_G0257219_09
