lncRNAId	lncRNAName	pvalue	mm_pvalue	mp_pvalue	pm_pvalue	pp_pvalue
ENSG00000268895_ASO_G0268895_01	A1BG-AS1	0.344624162032155	0.914521836436223	1.0	0.04564980261504148	1.0
ENSG00000271270_ASO_G0271270_09	TMCC1-AS1	0.010575037792289445	0.0002194908710120255	1.0	1.0	1.0
ENSG00000212978_ASO_G0212978_01	AC016747.3	0.1147860377655802	0.0378393032521941	1.0	0.27403430931284034	1.0
ENSG00000257219_ASO_G0257219_AD_05	RP11-54A9.1	0.20826236977480875	0.6263289305758682	1.0	0.006790828138064015	0.8795025962262274
ENSG00000214548_ASO_G0214548_01	MEG3	0.0008373762081529738	0.10753552686770136	1.0	3.7633682700586066e-12	1.0
ENSG00000256268_ASO_G0256268_AD_07	RP11-221N13.3	0.010575037792289445	1.0	1.0	0.00575966723710306	0.15180679745663356
ENSG00000229647_ASO_G0229647_06	AC007879.7	0.0001691906086705974	0.08843124564232198	1.0	4.069513818231531e-08	0.9809989599649673
ENSG00000246430_ASO_G0246430_03	LINC00968	0.0005246697715157603	0.015558528782827378	1.0	0.00242613734196405	1.0
ENSG00000225733_ASO_G0225733_AD_03	FGD5-AS1	0.0015485727961363997	0.8534477293889494	1.0	0.0012280075558971806	1.0
ENSG00000233117_ASO_G0233117_02	LINC00702	2.2773664527264235e-10	0.0001892062563945012	1.0	2.424330580050164e-46	1.857141814649995e-07
ENSG00000256268_ASO_G0256268_AD_06	RP11-221N13.3	0.024275045919056316	0.1459953449227904	1.0	0.02720525203977727	1.0
ENSG00000234608_ASO_G0234608_06	MAPKAPK5-AS1	1.706215239979291e-41	1.880324263729596e-78	1.0	1.4206694649921392e-06	0.36366425500903493
ENSG00000205181_ASO_G0205181_01	LINC00654	0.007237421084837124	0.5209570677276286	1.0	0.03776233748252368	0.5361888256010173
ENSG00000253161_ASO_C013368_02	RP11-150O12.1	3.5201865985987667e-07	0.6291998718195213	0.9677016481648827	7.993679360676431e-07	0.01395437904348593
ENSG00000180769_ASO_G0180769_08	WDFY3-AS2	0.01246251035021191	0.41692065677719947	1.0	0.04564980261504148	1.0
ENSG00000230630_ASO_G0230630_AD_04	DNM3OS	5.026153430185614e-07	0.914521836436223	1.0	1.2743409157251894e-12	0.8023205191252216
ENSG00000214548_ASO_G0214548_AD_09	MEG3	5.4624190884549186e-09	0.0051750062128666525	8.848178907987961e-11	0.3800527676256757	6.045004687431162e-12
ENSG00000234456_ASO_G0234456_01	MAGI2-AS3	0.059619853841049564	1.0	1.0	0.02720525203977727	1.0
ENSG00000233396_ASO_G0233396_07	RP11-458D21.1	5.29014846678481e-128	2.0900237810994848e-185	0.39117920972559106	0.00041247406099165646	1.0
ENSG00000251580_ASO_G0251580_AD_05	RP11-539L10.3	0.00036942649230363976	8.65349770720929e-05	1.0	0.22648723893727132	0.15054616616709324
ENSG00000204054_ASO_G0204054_06	LINC00963	0.0007899742041700672	0.05892409765947061	1.0	0.0002472708931388415	1.0
ENSG00000234608_ASO_G0234608_AD_04	MAPKAPK5-AS1	0.0001691906086705974	0.036225704655439714	1.0	8.797022498546016e-08	0.9208919205779704
ENSG00000268895_ASO_G0268895_03	A1BG-AS1	0.0027791967688117138	0.1459953449227904	1.0	0.0013779804526234012	1.0
ENSG00000223485_ASO_G0223485_01	RP11-417E7.1	3.159147007864814e-12	0.004198630183721784	1.0	4.346306455596465e-57	8.603078404980026e-13
ENSG00000223485_ASO_G0223485_AD_04	RP11-417E7.1	8.778045384785615e-10	2.4298566791198346e-05	1.0	1.2188195984804416e-06	1.0
ENSG00000237187_ASO_G0237187_AD_01	NR2F1-AS1	0.08150885116850907	1.0	1.0	0.027809745939277698	1.0
ENSG00000254682_ASO_G0254682_02	RP11-660L16.2	0.010575037792289445	8.940122344328767e-05	1.0	0.5884368579388026	0.15054616616709324
ENSG00000212978_ASO_G0212978_03	AC016747.3	5.026153430185614e-07	6.838986869471235e-07	1.0	0.00041247406099165646	1.0
