	TP	FP	FN	TN	mm_TP	mm_FP	mm_FN	mm_TN	mp_TP	mp_FP	mp_FN	mp_TN	pm_TP	pm_FP	pm_FN	pm_TN	pp_TP	pp_FP	pp_FN	pp_TN
0	2	2150	9	22540	1	1161	9	23530	0	1162	1	23538	1	1028	9	23663	0	1029	1	23671
1	10	188	874	23629	1	54	504	24142	1	54	378	24268	7	136	498	24060	1	142	378	24180
2	1	61	351	24288	1	20	259	24421	0	21	92	24588	0	41	260	24400	0	41	92	24568
3	5	65	1030	23601	1	44	529	24127	1	44	504	24152	3	22	527	24149	0	25	505	24171
4	10	71	1108	23512	10	61	679	23951	0	71	429	24201	0	10	689	24002	0	10	429	24262
5	1	1148	1	23551	0	306	2	24393	0	306	0	24395	1	857	1	23842	0	858	0	23843
6	28	8902	42	15729	13	6995	23	17670	8	7000	26	17667	4	2205	32	22460	3	2206	31	22461
7	8	3165	23	21505	6	1853	18	22824	0	1859	7	22835	3	1438	21	23239	0	1441	7	23253
8	2	268	88	24343	0	98	43	24560	0	98	47	24556	2	170	41	24488	0	172	47	24482
9	26	2126	194	22355	4	1158	148	23391	2	1160	66	23473	15	1014	137	23535	5	1024	63	23609
10	1	2194	13	22493	0	846	8	23847	0	846	6	23849	1	1370	7	23323	0	1371	6	23324
11	27	8903	51	15720	18	6990	44	17649	4	7004	12	17681	5	2204	57	22435	0	2209	16	22476
12	400	4866	1195	18240	61	2531	380	21729	118	2474	1036	21073	110	2925	331	21335	144	2891	1010	20656
13	93	8470	146	15992	44	6164	90	18403	24	6184	81	18412	20	3259	114	21308	11	3268	94	21328
14	47	1102	607	22945	3	303	338	24057	1	305	312	24083	24	834	317	23526	19	839	294	23549
15	37	4834	60	19770	7	965	64	23665	0	972	26	23703	33	4020	38	20610	2	4051	24	20624
16	53	489	1345	22814	13	142	830	23716	5	150	550	23996	27	361	816	23497	9	379	546	23767
17	9	941	175	23576	3	693	59	23946	5	691	117	23888	1	259	61	24380	0	260	122	24319
18	10	2575	108	22008	1	496	81	24123	0	497	36	24168	4	2124	78	22495	5	2123	31	22542
19	14	133	801	23753	1	40	483	24177	2	39	329	24331	9	97	475	24120	2	104	329	24266
20	490	5574	1043	17594	94	2158	570	21879	79	2173	790	21659	270	3953	394	20084	89	4134	780	19698
21	3	839	29	23830	2	674	29	23996	0	676	1	24024	1	170	30	24500	0	171	1	24529
22	10	1139	80	23472	3	303	63	24332	0	306	24	24371	7	851	59	23784	1	857	23	23820
23	58	3127	349	21167	17	1353	207	23124	3	1367	180	23151	25	1842	199	22635	14	1853	169	22665
24	726	7837	666	15472	463	5745	374	18119	142	6066	413	18080	164	3115	673	20749	58	3221	497	20925
25	8	5037	13	19643	6	2951	13	21731	0	2957	2	21742	1	2200	18	22482	1	2200	1	22499
26	10	42	2683	21966	4	28	1546	23123	2	30	1141	23528	3	17	1547	23134	1	19	1142	23539
27	29	3902	76	20694	8	1549	80	23064	1	1556	16	23128	17	2521	71	22092	4	2534	13	22150
28	59	211	3859	20572	11	87	2232	22371	12	86	1663	22940	18	154	2225	22304	18	154	1657	22872
29	14	3159	76	21452	2	1857	54	22788	3	1856	31	22811	7	1434	49	23211	2	1439	32	23228
30	270	2315	1610	20506	23	474	922	23282	11	486	924	23280	130	1998	815	21758	110	2018	825	21748
