lncRNAId	lncRNAName	our	our_p	our_m	fantom	fantom_p	fantom_m	intersection	mm_intersection	mp_intersection	pm_intersection	pp_intersection
ENSG00000257219_ASO_G0257219_AD_10	RP11-54A9.1	4335	897	3620	11	1	10	2	1	0	1	0
ENSG00000242147_ASO_G0242147_07	RP13-463N16.6	16396	7556	13263	2915	1359	1556	2331	1037	909	515	645
ENSG00000245937_ASO_G0245937_01	CTC-228N24.3	1005	153	856	43	6	37	4	4	0	0	0
ENSG00000260565_ASO_G0260565_AD_06	ERVK13-1	20309	17150	12239	14	0	14	13	8	0	12	0
ENSG00000260032_ASO_G0260032_AD_01	LINC00657	1772	352	1443	884	379	505	74	39	18	9	8
ENSG00000256268_ASO_G0256268_AD_03	RP11-221N13.3	19315	9912	16722	2	0	2	2	2	0	2	0
ENSG00000212978_ASO_G0212978_01	AC016747.3	2979	370	2660	31	7	24	8	7	0	1	0
ENSG00000257219_ASO_G0257219_AD_05	RP11-54A9.1	4335	897	3620	220	68	152	55	25	12	13	9
ENSG00000253352_ASO_G0253352_AD_07	TUG1	954	184	772	115	6	109	11	8	2	1	0
ENSG00000226950_ASO_G0226950_04	DANCR	73	3	70	149	76	73	1	1	0	0	0
ENSG00000214548_ASO_G0214548_01	MEG3	546	505	43	1595	1154	441	49	0	2	27	21
ENSG00000241990_ASO_G0241990_01	RP6-109B7.3	19	6	13	3	1	2	1	0	0	1	0
ENSG00000232110_ASO_G0232110_AD_06	RP11-149I23.3	14453	5567	11752	3	1	2	1	1	0	0	0
ENSG00000228630_ASO_G0228630_POS_06	HOTAIR	16	16	0	41	11	30	1	0	0	1	0
ENSG00000238266_ASO_G0238266_03	LINC00707	18092	11541	13294	8	0	8	7	7	0	5	0
ENSG00000234608_ASO_G0234608_AD_01	MAPKAPK5-AS1	5821	3862	2249	239	105	134	82	16	19	44	10
ENSG00000247240_ASO_G0247240_AD_06	UBL7-AS1	687	105	585	15	4	11	1	1	0	0	0
ENSG00000250742_ASO_G0250742_AD_05	RP11-834C11.4	51	51	0	1	0	1	1	0	0	1	0
ENSG00000256268_ASO_G0256268_AD_07	RP11-221N13.3	19315	9912	16722	654	313	341	567	268	255	169	154
ENSG00000229647_ASO_G0229647_06	AC007879.7	14247	2885	13109	97	26	71	81	65	13	15	3
ENSG00000246430_ASO_G0246430_03	LINC00968	783	686	99	1398	555	843	56	3	2	33	18
ENSG00000245937_ASO_G0245937_AD_05	CTC-228N24.3	1005	153	856	46	25	21	1	1	0	0	0
ENSG00000253161_ASO_C013368_01	RP11-150O12.1	13112	2622	11994	118	36	82	76	51	17	13	7
ENSG00000246067_ASO_G0246067_AD_09	RAB30-AS1	2193	179	2026	904	99	805	117	107	7	3	1
ENSG00000225733_ASO_G0225733_AD_03	FGD5-AS1	6954	974	6246	815	331	484	362	228	99	45	12
ENSG00000233117_ASO_G0233117_02	LINC00702	828	752	77	1533	869	664	87	2	3	46	36
ENSG00000246089_ASO_G0246089_02	RP11-115C21.2	1339	477	875	32	1	31	3	2	0	1	0
ENSG00000256268_ASO_G0256268_AD_06	RP11-221N13.3	19315	9912	16722	90	24	66	81	57	15	46	10
ENSG00000223478_ASO_G0223478_03	RP11-545E17.3	13297	8289	7459	407	183	224	279	101	36	94	107
ENSG00000234608_ASO_G0234608_06	MAPKAPK5-AS1	5821	3862	2249	1392	555	837	483	173	51	179	105
ENSG00000250786_ASO_G0250786_AD_10	SNHG18	88	81	7	21	2	19	1	0	0	1	0
ENSG00000205181_ASO_G0205181_01	LINC00654	977	828	152	105	17	88	6	1	0	3	2
ENSG00000229847_ASO_G0229847_AD_04	EMX2OS	22	22	0	3918	1675	2243	3	0	0	2	1
ENSG00000212978_ASO_G0212978_02	AC016747.3	2979	370	2660	90	34	56	10	2	4	4	0
ENSG00000255121_ASO_G0255121_02	RP11-110I1.12	12216	7440	6944	2	1	1	2	0	0	1	1
ENSG00000253161_ASO_C013368_02	RP11-150O12.1	13112	2622	11994	1880	935	945	1253	588	567	142	142
ENSG00000234456_ASO_G0234456_04	MAGI2-AS3	2478	1276	1272	52	9	43	8	2	1	5	0
ENSG00000180769_ASO_G0180769_08	WDFY3-AS2	1395	1248	153	6	0	6	1	0	0	1	0
ENSG00000255121_ASO_G0255121_08	RP11-110I1.12	12216	7440	6944	2	0	2	1	0	0	1	0
ENSG00000246430_ASO_G0246430_AD_03	LINC00968	783	686	99	6	0	6	2	0	0	2	0
ENSG00000231185_ASO_G0231185_03	AC005592.2	1513	122	1399	1274	526	748	118	88	20	10	2
ENSG00000226950_ASO_G0226950_05	DANCR	73	3	70	108	47	61	1	1	0	0	0
ENSG00000250742_ASO_G0250742_AD_04	RP11-834C11.4	51	51	0	26	1	25	1	0	0	1	0
ENSG00000233527_ASO_G0233527_02	AC092295.7	9	0	9	6363	3341	3022	3	1	2	0	0
ENSG00000257642_ASO_G0257642_01	RP11-474B16.1	11434	3027	9779	2	0	2	1	1	0	0	0
ENSG00000233396_ASO_G0233396_02	RP11-458D21.1	13465	5375	10628	12	0	12	7	5	0	2	0
ENSG00000225733_ASO_G0225733_AD_06	FGD5-AS1	6954	974	6246	160	31	129	74	52	6	22	4
ENSG00000260032_ASO_G0260032_AD_06	LINC00657	1772	352	1443	406	213	193	21	8	8	3	2
ENSG00000237187_ASO_G0237187_03	NR2F1-AS1	775	615	163	6	0	6	2	1	0	1	0
ENSG00000230630_ASO_G0230630_AD_04	DNM3OS	1248	1114	139	1150	511	639	103	3	3	61	36
ENSG00000227036_ASO_G0227036_04	LINC00511	4	3	1	680	429	251	1	0	0	1	0
ENSG00000260565_ASO_G0260565_AD_08	ERVK13-1	20309	17150	12239	6	1	5	4	2	0	2	1
ENSG00000238266_ASO_G0238266_AD_06	LINC00707	18092	11541	13294	1056	476	580	877	421	272	338	240
ENSG00000214548_ASO_G0214548_AD_09	MEG3	546	505	43	1960	980	980	67	2	4	22	39
ENSG00000223485_ASO_G0223485_AD_06	RP11-417E7.1	2288	1964	367	42	35	7	1	0	1	0	0
ENSG00000234456_ASO_G0234456_01	MAGI2-AS3	2478	1276	1272	26	1	25	6	2	0	3	1
ENSG00000246067_ASO_G0246067_AD_06	RAB30-AS1	2193	179	2026	8966	4597	4369	1052	624	366	38	30
ENSG00000225733_ASO_G0225733_03	FGD5-AS1	6954	974	6246	14	0	14	4	4	0	1	0
ENSG00000257219_ASO_G0257219_09	RP11-54A9.1	4335	897	3620	6	0	6	1	1	0	0	0
ENSG00000233396_ASO_G0233396_07	RP11-458D21.1	13465	5375	10628	7751	3613	4138	5332	2428	1914	1510	637
ENSG00000204054_ASO_G0204054_06	LINC00963	52	47	5	977	417	560	2	0	0	1	1
ENSG00000231185_ASO_G0231185_02	AC005592.2	1513	122	1399	999	439	560	96	61	29	4	3
ENSG00000234608_ASO_G0234608_AD_04	MAPKAPK5-AS1	5821	3862	2249	440	176	264	168	19	27	114	17
ENSG00000225733_ASO_G0225733_04	FGD5-AS1	6954	974	6246	330	157	173	131	59	50	10	18
ENSG00000226950_ASO_G0226950_AD_07	DANCR	73	3	70	93	18	75	1	1	0	0	0
ENSG00000268895_ASO_G0268895_03	A1BG-AS1	10	0	10	3044	1228	1816	4	4	0	0	0
ENSG00000223485_ASO_G0223485_01	RP11-417E7.1	2288	1964	367	3821	2000	1821	474	45	30	313	102
ENSG00000242147_ASO_G0242147_05	RP13-463N16.6	16396	7556	13263	45	0	45	38	36	0	16	0
ENSG00000229847_ASO_G0229847_AD_02	EMX2OS	22	22	0	1410	91	1319	1	0	0	1	0
ENSG00000223485_ASO_G0223485_AD_04	RP11-417E7.1	2288	1964	367	4157	1841	2316	510	52	22	294	153
ENSG00000237187_ASO_G0237187_AD_01	NR2F1-AS1	775	615	163	2	0	2	1	0	0	1	0
ENSG00000212978_ASO_G0212978_03	AC016747.3	2979	370	2660	887	382	505	148	96	34	11	8
ENSG00000246273_ASO_G0246273_02	SBF2-AS1	168	7	161	1176	505	671	17	15	2	0	0
ENSG00000229647_ASO_G0229647_AD_09	AC007879.7	14247	2885	13109	2	0	2	2	1	0	1	0
