	TP	FP	FN	TN	mm_TP	mm_FP	mm_FN	mm_TN	mp_TP	mp_FP	mp_FN	mp_TN	pm_TP	pm_FP	pm_FN	pm_TN	pp_TP	pp_FP	pp_FN	pp_TN
0	2	1694	9	22996	1	527	9	24164	0	528	1	24172	1	1189	9	23502	0	1190	1	23510
1	1	276	42	24382	0	152	37	24512	0	152	6	24543	1	124	36	24540	0	125	6	24570
2	37	706	847	23111	15	482	490	23714	10	487	369	23835	8	239	497	23957	4	243	375	24079
3	1	337	30	24333	1	241	23	24436	0	242	7	24452	0	98	24	24579	0	98	7	24596
4	31	1665	189	22816	6	522	146	24027	6	522	62	24111	12	1178	140	23371	7	1183	61	23450
5	4	2447	24	22226	0	1087	10	23604	2	1085	16	23598	1	1416	9	23275	2	1415	16	23268
6	5	65	576	24055	2	40	460	24199	1	41	118	24541	2	26	460	24213	0	28	119	24554
7	1	276	45	24379	0	152	21	24528	0	152	25	24524	1	124	20	24556	0	125	25	24551
8	2	101	116	24482	0	49	82	24570	0	49	36	24616	1	53	81	24566	1	53	35	24612
9	69	1145	746	22741	33	661	451	23556	11	683	320	23687	25	510	459	23707	1	534	330	23836
10	169	1846	1364	21322	61	976	603	23061	35	1002	834	22830	56	952	608	23085	20	988	849	22844
11	1	337	89	24274	0	242	56	24403	0	242	34	24425	1	97	55	24548	0	98	34	24569
12	1	276	0	24424	0	152	1	24548	0	152	0	24549	1	124	0	24576	0	125	0	24576
13	16	87	1864	22734	4	45	941	23711	4	45	931	23721	3	51	942	23705	5	49	930	23717
14	1	287	51	24362	0	116	43	24542	0	116	9	24576	1	171	42	24487	0	172	9	24520
15	56	2395	287	21963	18	1069	142	23472	12	1075	171	23443	17	1400	143	23141	9	1408	174	23110
16	1	2014	4	22682	0	1037	4	23660	0	1037	1	23663	1	1007	3	23690	0	1008	1	23692
17	19	1195	141	23346	5	689	124	23883	1	693	30	23977	11	524	118	24048	2	533	29	24137
18	11	732	395	23563	4	493	189	24015	0	497	213	23991	5	242	188	24266	2	245	211	24243
19	3	2448	9	22241	1	1086	5	23609	0	1087	6	23608	2	1415	4	23280	0	1417	6	23278
20	1	2294	5	22401	0	978	6	23717	0	978	0	23723	1	1347	5	23348	0	1348	0	23353
21	25	412	1125	23139	10	333	629	23729	4	339	507	23851	8	86	631	23976	3	91	508	24099
22	22	512	658	23509	6	185	245	24265	5	186	424	24086	8	338	243	24112	3	343	426	23929
23	2	2293	56	22350	0	978	2	23721	0	978	56	23667	0	1348	2	23351	2	1346	54	23299
24	1	287	25	24388	0	116	25	24560	0	116	1	24584	1	171	24	24505	0	172	1	24528
25	4	1	8962	15734	3	1	4366	20331	0	4	4597	20100	1	0	4368	20332	0	1	4597	20103
26	3	1693	3	23002	1	527	5	24168	0	528	0	24173	3	1187	3	23508	0	1190	0	23511
27	2	2	7749	16948	1	2	4137	20561	1	2	3612	21086	0	1	4138	20562	0	1	3613	21087
28	75	1150	902	22574	40	653	520	23488	12	681	405	23603	17	527	543	23614	7	537	410	23747
29	1	1224	1	23475	0	693	2	24006	0	693	0	24008	1	543	1	24156	0	544	0	24157
30	22	1192	308	23179	4	690	169	23838	5	689	152	23855	10	525	163	24003	4	531	153	24013
31	2	2293	0	22406	0	978	2	23721	0	978	0	23723	2	1346	0	23353	0	1348	0	23353
32	134	2317	709	21541	30	1057	405	23209	22	1065	386	23228	36	1381	399	22885	50	1367	358	22926
33	26	312	861	23502	13	229	492	23967	7	235	375	24084	3	95	502	24101	3	95	379	24224
34	35	352	1141	23173	17	198	654	23832	3	212	502	23984	9	164	662	23866	6	167	499	24029
35	3	36	763	23899	0	28	360	24313	0	28	406	24267	3	8	357	24333	0	11	406	24284
