lncRNAId	lncRNAName	our	our_p	our_m	fantom	fantom_p	fantom_m	intersection	mm_intersection	mp_intersection	pm_intersection	pp_intersection
ENSG00000203706_ASO_G0203706_01	SERTAD4-AS1	13493	10661	5852	988	506	482	694	198	174	243	265
ENSG00000180769_ASO_G0180769_08	WDFY3-AS2	4478	3131	1616	6	0	6	4	0	0	4	0
ENSG00000223485_ASO_G0223485_AD_04	RP11-417E7.1	2	0	2	4157	1841	2316	1	1	0	0	0
ENSG00000225439_ASO_G0225439_06	BOLA3-AS1	2	2	0	1715	829	886	1	0	0	0	1
ENSG00000214548_ASO_G0214548_01	MEG3	857	408	465	1595	1154	441	68	11	26	14	17
ENSG00000214548_ASO_G0214548_AD_09	MEG3	857	408	465	1960	980	980	115	31	37	10	41
ENSG00000229847_ASO_G0229847_AD_04	EMX2OS	1778	392	1410	3918	1675	2243	427	248	111	42	32
ENSG00000229847_ASO_G0229847_03	EMX2OS	1778	392	1410	90	47	43	11	4	2	3	3
ENSG00000229847_ASO_G0229847_01	EMX2OS	1778	392	1410	46	19	27	4	1	2	1	0
ENSG00000227036_ASO_G0227036_04	LINC00511	95	65	31	680	429	251	4	0	2	1	1
ENSG00000229847_ASO_G0229847_AD_02	EMX2OS	1778	392	1410	1410	91	1319	210	173	8	31	3
ENSG00000229043_ASO_G0229043_07	AC091729.9	1381	147	1244	3338	1546	1792	195	99	65	16	16
ENSG00000230630_ASO_G0230630_AD_04	DNM3OS	3512	3089	510	1150	511	639	253	19	9	167	65
ENSG00000230590_ASO_G0230590_02	FTX	10938	9797	2639	23	6	17	6	1	1	3	2
ENSG00000230590_ASO_G0230590_AD_03	FTX	10938	9797	2639	10	2	8	8	2	0	5	1
ENSG00000230590_ASO_G0230590_AD_02	FTX	10938	9797	2639	581	119	462	335	80	11	261	32
ENSG00000231187_ASO_G0231187_07	RP11-38L15.3	105	85	20	85	15	70	2	0	1	1	0
ENSG00000230590_ASO_G0230590_05	FTX	10938	9797	2639	9	0	9	3	0	0	3	0
ENSG00000230844_ASO_G0230844_01	ZNF674-AS1	1086	39	1049	1398	662	736	99	63	33	2	2
ENSG00000231187_ASO_G0231187_02	RP11-38L15.3	105	85	20	8973	4122	4851	52	9	1	32	10
ENSG00000233901_ASO_G0233901_04	RP11-65J3.1	1659	1595	71	244	81	163	24	1	1	20	2
ENSG00000234608_ASO_G0234608_06	MAPKAPK5-AS1	331	40	293	1392	555	837	19	16	2	1	0
ENSG00000234327_ASO_G0234327_07	AC012146.7	16354	7126	14525	1	0	1	1	1	0	1	0
ENSG00000234608_ASO_G0234608_AD_01	MAPKAPK5-AS1	331	40	293	239	105	134	2	2	0	0	0
ENSG00000234608_ASO_G0234608_AD_04	MAPKAPK5-AS1	331	40	293	440	176	264	2	1	0	0	1
ENSG00000233901_ASO_G0233901_05	RP11-65J3.1	1659	1595	71	4513	2061	2452	386	13	7	238	132
ENSG00000233527_ASO_G0233527_03	AC092295.7	15887	6890	13996	1	0	1	1	1	0	0	0
ENSG00000233527_ASO_G0233527_02	AC092295.7	15887	6890	13996	6363	3341	3022	4654	1870	2097	1009	1423
ENSG00000246067_ASO_G0246067_AD_06	RAB30-AS1	310	69	244	8966	4597	4369	167	79	38	36	15
ENSG00000246089_ASO_G0246089_02	RP11-115C21.2	5614	1390	4575	32	1	31	17	12	1	6	0
ENSG00000246067_ASO_G0246067_AD_09	RAB30-AS1	310	69	244	904	99	805	11	3	0	8	0
ENSG00000247240_ASO_G0247240_AD_06	UBL7-AS1	11586	3242	10221	15	4	11	10	7	2	2	1
ENSG00000255121_ASO_G0255121_02	RP11-110I1.12	20457	13113	18989	2	1	1	2	1	1	0	1
ENSG00000255121_ASO_G0255121_08	RP11-110I1.12	20457	13113	18989	2	0	2	2	2	0	1	0
ENSG00000259091_ASO_G0259091_01	LINC00517	231	23	208	1098	522	576	18	9	8	1	0
ENSG00000267751_ASO_G0267751_AD_02	AC009005.2	2179	274	1955	23	2	21	3	3	0	0	0
ENSG00000271270_ASO_G0271270_AD_10	TMCC1-AS1	4529	356	4276	13	2	11	4	2	1	1	0
ENSG00000269834_ASO_G0269834_AD_06	CTD-3018O17.3	2297	2155	179	70	34	36	14	0	0	7	7
ENSG00000269834_ASO_G0269834_02	CTD-3018O17.3	2297	2155	179	78	16	62	7	0	0	5	2
ENSG00000269834_ASO_G0269834_AD_02	CTD-3018O17.3	2297	2155	179	95	41	54	8	0	0	7	1
ENSG00000271270_ASO_G0271270_09	TMCC1-AS1	4529	356	4276	1118	429	689	359	263	68	38	3
