lncRNAId	lncRNAName	pvalue	mm_pvalue	mp_pvalue	pm_pvalue	pp_pvalue
ENSG00000203706_ASO_G0203706_01	SERTAD4-AS1	1.579579205146892e-23	1.6332044630929614e-16	9.025460471971652e-07	0.006834010591194126	0.00039479500315233677
ENSG00000180769_ASO_G0180769_08	WDFY3-AS2	0.03238258999054503	1.0	1.0	0.012808195184242845	1.0
ENSG00000214548_ASO_G0214548_AD_09	MEG3	1.0907549978653101e-07	0.024292340304337152	0.00082997906647141	0.26876189112678067	1.1372114184197317e-06
ENSG00000229847_ASO_G0229847_AD_04	EMX2OS	1.7029265452245769e-19	6.207186949555472e-24	0.5199888699091716	0.444718280076717	0.768291878918603
ENSG00000229847_ASO_G0229847_AD_02	EMX2OS	1.10770663846267e-23	4.064275351133145e-24	0.7082839775981835	0.08380326830262322	0.7212070320464383
ENSG00000230630_ASO_G0230630_AD_04	DNM3OS	2.4456148241003155e-12	0.30279585551399807	1.0	1.5303065070548386e-19	1.0
ENSG00000230590_ASO_G0230590_AD_02	FTX	4.5989667662281143e-10	6.633862940012489e-05	1.0	3.752182676430861e-12	0.04748538192703272
ENSG00000230844_ASO_G0230844_01	ZNF674-AS1	1.1357971572763685e-05	7.797275894200649e-07	0.7082839775981835	0.5117593992967169	0.768291878918603
ENSG00000231187_ASO_G0231187_02	RP11-38L15.3	0.01723483146199073	0.03284091073686102	0.7082839775981835	0.0005936424792324354	0.768291878918603
ENSG00000233901_ASO_G0233901_04	RP11-65J3.1	0.11655348151971263	0.6274829609049736	0.7082839775981835	0.021181768498578626	0.7212070320464383
ENSG00000233901_ASO_G0233901_05	RP11-65J3.1	4.6343313814762854e-07	0.09116654295625301	1.0	5.530249503419838e-10	1.0
ENSG00000233527_ASO_G0233527_02	AC092295.7	2.022833132850651e-65	4.751830678189874e-09	6.217040932918102e-13	1.7318169781347728e-11	1.681912157852528e-84
ENSG00000246067_ASO_G0246067_AD_06	RAB30-AS1	1.4447573881576798e-09	1.7181095918593626e-07	0.7082839775981835	5.530249503419838e-10	1.0
ENSG00000246089_ASO_G0246089_02	RP11-115C21.2	0.0006038545625432036	0.03284091073686102	0.7082839775981835	0.023481009269739686	1.0
ENSG00000246067_ASO_G0246067_AD_09	RAB30-AS1	1.0	0.2683025782336506	1.0	0.008097509065377845	1.0
ENSG00000271270_ASO_G0271270_09	TMCC1-AS1	1.5106064457448794e-28	4.7128584628857e-38	0.9031154349709275	1.7318169781347728e-11	0.7700189872991761
