	TP	FP	FN	TN	mm_TP	mm_FP	mm_FN	mm_TN	mp_TP	mp_FP	mp_FN	mp_TN	pm_TP	pm_FP	pm_FN	pm_TN	pp_TP	pp_FP	pp_FN	pp_TN
0	694	12799	294	10914	198	5654	284	18565	174	5678	332	18517	243	10418	239	13801	265	10396	241	13799
1	4	4474	2	20221	0	1616	6	23079	0	1616	0	23085	4	3127	2	21568	0	3131	0	21570
2	1	1	4156	20543	1	1	2315	22384	0	2	1841	22858	0	0	2316	22385	0	0	1841	22860
3	1	1	1714	22985	0	0	886	23815	0	0	829	23872	0	2	886	23813	1	1	828	23871
4	68	789	1527	22317	11	454	430	23806	26	439	1128	23108	14	394	427	23866	17	391	1137	23156
5	115	742	1845	21999	31	434	949	23287	37	428	943	23293	10	398	970	23323	41	367	939	23354
6	427	1351	3491	19432	248	1162	1995	21296	111	1299	1564	21727	42	350	2201	22108	32	360	1643	22666
7	11	1767	79	22844	4	1406	39	23252	2	1408	45	23246	3	389	40	24269	3	389	44	24265
8	4	1774	42	22881	1	1409	26	23265	2	1408	17	23274	1	391	26	24283	0	392	19	24290
9	4	91	676	23930	0	31	251	24419	2	29	427	24243	1	64	250	24386	1	64	428	24208
10	210	1568	1200	21723	173	1237	1146	22145	8	1402	83	23208	31	361	1288	23021	3	389	88	24221
11	195	1186	3143	20177	99	1145	1693	21764	65	1179	1481	21976	16	131	1776	22778	16	131	1530	23024
12	253	3259	897	20292	19	491	620	23571	9	501	502	23689	167	2922	472	21140	65	3024	446	21166
13	6	10932	17	13746	1	2638	16	22046	1	2638	5	22057	3	9794	14	14890	2	9795	4	14900
14	8	10930	2	13761	2	2637	6	22056	0	2639	2	22060	5	9792	3	14901	1	9796	1	14903
15	335	10603	246	13517	80	2559	382	21680	11	2628	108	21954	261	9536	201	14703	32	9765	87	14817
16	2	103	83	24513	0	20	70	24611	1	19	14	24667	1	84	69	24547	0	85	15	24601
17	3	10935	6	13757	0	2639	9	22053	0	2639	0	22062	3	9794	6	14898	0	9797	0	14904
18	99	987	1299	22316	63	986	673	22979	33	1016	629	23023	2	37	734	23928	2	37	660	24002
19	52	53	8921	15675	9	11	4842	19839	1	19	4121	20560	32	53	4819	19797	10	75	4112	20504
20	24	1635	220	22822	1	70	162	24468	1	70	80	24550	20	1575	143	22963	2	1593	79	23027
21	19	312	1373	22997	16	277	821	23587	2	291	553	23855	1	39	836	23825	0	40	555	24106
22	1	16353	0	8347	1	14524	0	10176	0	14525	0	10176	1	7125	0	17575	0	7126	0	17575
23	2	329	237	24133	2	291	132	24276	0	293	105	24303	0	40	134	24527	0	40	105	24556
24	2	329	438	23932	1	292	263	24145	0	293	176	24232	0	40	264	24397	1	39	175	24486
25	386	1273	4127	18915	13	58	2439	22191	7	64	2054	22576	238	1357	2214	20892	132	1463	1929	21177
26	1	15886	0	8814	1	13995	0	10705	0	13996	0	10705	0	6890	1	17810	0	6890	0	17811
27	4654	11233	1709	7105	1870	12126	1152	9553	2097	11899	1244	9461	1009	5881	2013	15798	1423	5467	1918	15893
28	167	143	8799	15592	79	165	4290	20167	38	206	4559	19898	36	33	4333	20299	15	54	4582	20050
29	17	5597	15	19072	12	4563	19	20107	1	4574	0	20126	6	1384	25	23286	0	1390	1	23310
30	11	299	893	23498	3	241	802	23655	0	244	99	24358	8	61	797	23835	0	69	99	24533
31	10	11576	5	13110	7	10214	4	14476	2	10219	2	14478	2	3240	9	21450	1	3241	3	21456
32	2	20455	0	4244	1	18988	0	5712	1	18988	0	5712	0	13113	1	11587	1	13112	0	11588
33	2	20455	0	4244	2	18987	0	5712	0	18989	0	5712	1	13112	1	11587	0	13113	0	11588
34	18	213	1080	23390	9	199	567	23926	8	200	514	23979	1	22	575	24103	0	23	522	24156
35	3	2176	20	22502	3	1952	18	22728	0	1955	2	22744	0	274	21	24406	0	274	2	24425
36	4	4525	9	20163	2	4274	9	20416	1	4275	1	20424	1	355	10	24335	0	356	2	24343
37	14	2283	56	22348	0	179	36	24486	0	179	34	24488	7	2148	29	22517	7	2148	27	22519
38	7	2290	71	22333	0	179	62	24460	0	179	16	24506	5	2150	57	22489	2	2153	14	22532
39	8	2289	87	22317	0	179	54	24468	0	179	41	24481	7	2148	47	22499	1	2154	40	22506
40	359	4170	759	19413	263	4013	426	19999	68	4208	361	20064	38	318	651	23694	3	353	426	23919
