lncRNAName	H3K27ac-wa	H3K27ac-ea	H3K27ac-wr	H3K27ac-er	H3K36me3-wa	H3K36me3-ea	H3K36me3-wr	H3K36me3-er	H3K4me1-wa	H3K4me1-ea	H3K4me1-wr	H3K4me1-er	H3K4me2-wa	H3K4me2-ea	H3K4me2-wr	H3K4me2-er	H3K4me3-wa	H3K4me3-ea	H3K4me3-wr	H3K4me3-er	H3K79me2-wa	H3K79me2-ea	H3K79me2-wr	H3K79me2-er	H3K9ac-wa	H3K9ac-ea	H3K9ac-wr	H3K9ac-er	H3K9me3-wa	H3K9me3-ea	H3K9me3-wr	H3K9me3-er	H4K20me1-wa	H4K20me1-ea	H4K20me1-wr	H4K20me1-er	H3K27me3-wa	H3K27me3-ea	H3K27me3-wr	H3K27me3-er	Methylation-wa	Methylation-ea	Methylation-wr	Methylation-er
A1BG-AS1_ASO_G0268895_01	21.650803755919526	7.394529029525314	0.014963545541165196	0.5852725420268078	6.114557070697575	-0.0	0.04567054712097784	-0.0	1.3405610959694119	0.038805920225251575	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A1BG-AS1_ASO_G0268895_03	10.844353271103657	38.999309723246725	-0.0	-0.0	1.6971388350742795	-0.0	-0.0	-0.0	2.860756943080066	0.835660991520873	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	1.823051974784332	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005592.2_ASO_G0231185_02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24625593605780724	5.184174340105222	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	1.7586331660958971	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005592.2_ASO_G0231185_03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8060177219813847	9.10848749888709	-0.0	0.33247844789846215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	4.357896586015771	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC007246.3_ASO_G0231312_02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	3.4661247670488025	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC007879.7_ASO_G0229647_06	5.329643516939775	5.00623333806568	-0.0	-0.0	2.3580691626177175	-0.0	-0.0	-0.0	7.390457472512243	1.0533942574707125	0.00833145304993442	-0.0	0.0	0.0	0.0	0.0	1.1354763597669526	10.525549496077936	-0.0	-0.0	2.183290158130584	0.2462189371456405	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC016747.3_ASO_G0212978_01	4.649516645754384	1.6831474597713014	-0.0	0.25924264820401666	0.0	0.0	0.0	0.0	0.5621950597619552	1.422056869006853	-0.0	-0.0	0.6775815076987868	5.186058007033063	-0.0	-0.0	0.30322387181915794	1.4492359538563253	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	2.905577584660703	-0.0	-0.0	0.0	0.0	0.0	0.0
AC016747.3_ASO_G0212978_02	1.5310099877724574	1.67596538635245	-0.0	-0.0	5.357047171800748	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	1.3664452437436934	0.3550572625142594	0.14081510121965826	-0.0	1.458948135906241	0.6759875063741848	-0.0	-0.0	3.17551487479575	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	2.536814675126739	-0.0	-0.0	0.0	0.0	0.0	0.0
AC016747.3_ASO_G0212978_03	10.364565413188494	3.782617690956132	-0.0	0.9860582896792435	0.0	0.0	0.0	0.0	3.384603357471437	6.165008230090871	-0.0	-0.0	2.870486958135626	9.801813171577182	0.03846526525792401	0.04160802007186206	0.41296565314800304	6.714208472708247	0.013637716418909483	-0.0	0.0	0.0	0.0	0.0	0.2967527881183698	2.0384120952649796	0.11046188270308158	0.07595079221422307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4452179311813396	8.270415444893292	-0.0	-0.0	0.0	0.0	0.0	0.0
AC092295.7_ASO_G0233527_02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.761498006998854	8.32313904295067	83.77419669008158	12.206416273233108
BOLA3-AS1_ASO_G0225439_06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	1.4033232123439936	0.15546876730022383	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CD27-AS1_ASO_G0215039_01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.307155040093064	8.380737051959208	-0.0	0.9994982126062857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5896332510624194	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CTC-228N24.3_ASO_G0245937_01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5808263975822683	1.7977744848062436	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CTC-228N24.3_ASO_G0245937_AD_02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6937445313367516	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CTD-2587H24.5_ASO_G0267577_01	0.0	0.0	0.0	0.0	12.081237610362384	1.641787995289052	1.631525756436113	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CTD-2587H24.5_ASO_G0267577_03	0.0	0.0	0.0	0.0	4.679647247720987	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DNM3OS_ASO_G0230630_AD_04	2.7931120530660722	52.63214219975595	0.5458500396159143	0.7262117916052124	0.0	0.0	0.0	0.0	11.89471437261917	0.038805920225251575	0.0956521006942971	-0.0	43.36115523055071	1.435270658356476	0.14081510121965826	-0.0	6.421277720875093	-0.0	1.1670967655603919	-0.0	0.0	0.0	0.0	0.0	1.8060701672887436	-0.0	-0.0	-0.0	1.6906945253761883	-0.0	-0.0	-0.0	3.491970774315083	0.09153907237415614	-0.0	-0.0	0.0	0.0	0.0	0.0	18.81522157507072	0.5188500734907201	-0.0	-0.0
EMX2OS_ASO_G0229847_AD_02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0767390436833764	23.391016876652586	0.14194004739046223	0.1497925824560227
EMX2OS_ASO_G0229847_AD_04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3519150185760702	23.207105174231543	0.11447375741385786	0.2840059521128187
FGD5-AS1_ASO_G0225733_04	1.7617696546540176	0.3170576616355509	2.5179254348760844	0.10283136830796998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35750879758893406	1.4492359538563253	3.2124015863692694	0.33247844789846215	0.0	0.0	0.0	0.0	1.6937445313367516	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.4347302953244857	-0.0	1.590427264610124	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGD5-AS1_ASO_G0225733_AD_03	9.617432500617712	6.483207556975391	0.4700587455978902	0.7284697998072381	0.0	0.0	0.0	0.0	2.910798960984492	0.06882307271339899	-0.0	-0.0	14.635710135939823	13.753559487179155	0.14081510121965826	0.20277420687524578	5.814031298904253	23.51427982978257	-0.0	0.336739875786914	0.0	0.0	0.0	0.0	2.8476382016429183	4.326160309801096	0.8500377668328463	-0.0	0.0	0.0	0.0	0.0	1.7928560622629075	0.047116587544669616	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGD5-AS1_ASO_G0225733_AD_06	4.928511904005216	1.8215354734723543	-0.0	0.25747753631784326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.124478877905795	1.356285985975588	-0.0	-0.0	7.006604511742111	2.9961571758971695	0.7217203008002476	-0.0	0.0	0.0	0.0	0.0	2.8476382016429183	0.09601443622147778	0.12862750186903701	-0.0	0.0	0.0	0.0	0.0	1.7928560622629075	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FTX_ASO_G0230590_AD_02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.425716025987368	4.17823350553453	1.3234400645963047	-0.0
JPX_ASO_G0225470_05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3654814544568816	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
JPX_ASO_G0225470_AD_04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6327786659082952	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC00511_ASO_G0227036_04	2.551155782312341	3.105408072448672	0.37351778452474677	0.7284697998072381	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4941750354656773	11.444102869401465	2.2530722400336356	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC00654_ASO_G0205181_01	0.8662311683582856	1.93093730349942	-0.0	-0.0	0.0	0.0	0.0	0.0	1.4229411307844053	0.28319806560114047	0.27068224113714795	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC00657_ASO_G0260032_AD_01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4585611172176169	2.145995398111716	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC00657_ASO_G0260032_AD_06	2.079571615552203	-0.0	0.10492130210276068	3.9012299439435685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
