chr.names	query.population	reference.population	relative.distances.ks.p.value	relative.distances.ecdf.deviation.area	relative.distances.ecdf.area.correlation	relative.distances.ecdf.deviation.area.p.value	scaled.absolute.min.distance.sum.p.value	scaled.absolute.min.distance.sum.lower.tail	jaccard.measure.p.value	jaccard.measure.lower.tail	projection.test.p.value	projection.test.lower.tail	projection.test.obs.to.exp	lnc
awhole	14	20	0.3708834209856471	0.0326765380923843	0.0414512756021348	0.638	0.36	False	0.001	False	0.000410247192936586	False	0.0	ENSG00000230623
awhole	38	358	0.546176184876188	0.0216595350247607	-0.025936828572255	0.5329999999999999	0.2	True	0.0	False	0.00199994134302273	False	0.0	ENSG00000227627
awhole	4	2	0.870564441164036	0.0489300011516582	0.0863375781889304	0.8490000000000001	0.40700000000000003	True	0.001	False	0.000218161809590223	False	0.0	ENSG00000272159
awhole	2575	290	0.410198163126503	0.00407049248423187	0.0159764377404807	0.202	0.018	True	0.011000000000000001	False	0.00554910974800749	False	9.15286226244809	ENSG00000246273
awhole	1497	1456	0.000306527621093844	0.0130849786873339	0.0518944974253253	0.0	0.0	True	0.423	False	0.20940540818399303	False	1.17594323228865	ENSG00000229989
chr12	1	8	0.38851682211805605	0.172142936043015	0.611483177881944	0.355	0.121	True	0.0	False	8.839596837850741e-05	False	0.0	ENSG00000234264
awhole	316	294944	0.8155065250699058	0.00588251055690708	0.0160608437961152	0.779	0.0	True	0.002	False	0.00414510801062984	False	1.67400703790122	ENSG00000255036
awhole	2	3	0.7505248095450021	0.0791177257406585	-0.22337469314734698	0.805	0.19	False	0.0	False	7.26604637879547e-06	False	0.0	ENSG00000247134
chr18	1	1	0.127593316610115	0.22009898547552303	-0.872406683389885	0.121	0.0570000000000001	False	0.0	False	3.53351241022537e-06	False	0.0	ENSG00000235786
awhole	2102	717	1.11022302462516e-16	0.0263796820043184	0.10605236971256099	0.0	0.0	True	0.284	True	0.30227380814682203	True	0.0	ENSG00000235531
chr2	1	1	0.262672757041333	0.193010439242467	0.737327242958667	0.259	0.129	True	0.0	False	4.40556774750078e-06	False	0.0	ENSG00000270607
awhole	23	12092	0.45131359412945704	0.0308441416033465	0.113012956232724	0.46299999999999997	0.028999999999999998	True	0.01	False	0.00733660748881382	False	7.76443764973909	ENSG00000273038
chr5	141	1	3.33066907387547e-16	0.114512832953416	0.46198129152824996	0.0	0.0	True	0.0070000000000000106	False	0.00481947938634997	False	0.0	ENSG00000177738
