chr.names	query.population	reference.population	relative.distances.ks.p.value	relative.distances.ecdf.deviation.area	relative.distances.ecdf.area.correlation	relative.distances.ecdf.deviation.area.p.value	scaled.absolute.min.distance.sum.p.value	scaled.absolute.min.distance.sum.lower.tail	jaccard.measure.p.value	jaccard.measure.lower.tail	projection.test.p.value	projection.test.lower.tail	projection.test.obs.to.exp	lnc
awhole	2	2	0.32918774449684	0.124828721840129	-0.22504676226115902	0.33	0.303	False	0.0	False	3.39855016640023e-06	False	0.0	ENSG00000272159
awhole	8	3	0.582071383821932	0.0647321241970308	-0.224552130845441	0.3	0.418	True	0.0	False	3.58283576060714e-05	False	0.0	ENSG00000247240
awhole	2575	442	2.30458920169596e-07	0.0160138673859554	0.0642499702248978	0.0	0.0	True	0.43700000000000006	False	0.40841772881559	False	0.0	ENSG00000246273
chr4	4	1	0.0017954413900305199	0.18405649445585198	0.7335923951771199	0.004	0.004	True	0.0	False	5.08898045525896e-06	False	0.0	ENSG00000258325
chr12	58	1	0.36374268933163395	0.0216645282331269	-0.0770135928126818	0.363	0.14	False	0.001	False	0.000469026029173758	False	0.0	ENSG00000229989
awhole	32	19	0.46357796380529004	0.0362362607004174	0.0988349482087432	0.193	0.431	False	0.001	False	0.0004963771862094291	False	0.0	ENSG00000255198
chr8	2	1	0.0418393771595156	0.21131326117776603	-0.8432104460455309	0.03	0.01	False	0.0	False	1.5157863707315803e-05	False	0.0	ENSG00000274297
chr12	1	1	0.683979625963576	0.137204812769251	-0.316020374036424	0.693	0.317	False	0.0	False	4.2093318275426805e-06	False	0.0	ENSG00000181097
chr3	1	1	0.500746191698625	0.15625	0.499253808301375	0.484	0.24600000000000002	True	0.0	False	4.74544162631929e-06	False	0.0	ENSG00000260093
chr17	1	1	0.512384184375784	0.15488116782873598	-0.48761581562421596	0.483	0.27699999999999997	False	0.0	False	4.01165344487975e-06	False	0.0	ENSG00000275703
awhole	22	3	0.7846175674857059	0.0241253608275568	-0.0450155697563486	0.7190000000000001	0.353	False	0.0	False	4.51587340339898e-05	False	0.0	ENSG00000281195
awhole	272	48	0.0470352619654296	0.0171595057797145	-0.0456897081982126	0.0590000000000001	0.0	True	0.005	False	0.00427448827264021	False	0.0	ENSG00000255036
chr6	1	77	0.851002415596413	0.127915314424191	0.148997584403587	0.8270000000000001	0.39299999999999996	True	0.001	False	0.0006299779470835269	False	0.0	ENSG00000267198
awhole	11	2	0.238081002874583	0.0474154528237211	0.16918648169240602	0.449	0.188	True	0.0	False	1.6647980163320098e-05	False	0.0	ENSG00000177337
chr3	5	1	0.00389602744577411	0.182392096855086	-0.7257157029926221	0.0060000000000000105	0.0	False	0.0	False	8.04352289218713e-06	False	0.0	ENSG00000279349
awhole	2084	617	0.0	0.0258339408331885	0.10336191443262199	0.0	0.0	True	0.09699999999999999	False	0.0603668649845521	False	2.25995988551567	ENSG00000235531
awhole	3	13	0.690976858881034	0.0712201380841872	0.21317709879867602	0.695	0.426	True	0.0	False	0.00023504176242128397	False	0.0	ENSG00000264548
chr3	1	2	0.8047979231630741	0.129391485234741	0.19520207683692603	0.812	0.48200000000000004	True	0.0	False	1.80387297528117e-05	False	0.0	ENSG00000276698
awhole	2	76	0.10904093151229599	0.179602622929371	-0.7124045785340729	0.08199999999999999	0.092	False	0.0	False	0.000459289706690069	False	0.0	ENSG00000234155
awhole	119	142	0.27228115849642803	0.0160824335563615	0.021908450732503998	0.321	0.162	True	0.00800000000000001	False	0.00592869294291076	False	0.0	ENSG00000279030
awhole	6	23	0.43945832750463104	0.0620548981812951	-0.23448032552258602	0.431	0.036000000000000004	False	0.0	False	0.0003264081664478	False	0.0	ENSG00000279900
awhole	6	2	0.45576987175874895	0.0728433674719581	-0.291150396527347	0.294	0.115	False	0.0	False	3.50176832399907e-05	False	0.0	ENSG00000215244
awhole	76	145	0.821379225732857	0.0127177040615087	0.030844598853875	0.7240000000000001	0.085	True	0.00700000000000001	False	0.006438732736155029	False	0.0	ENSG00000260804
awhole	9	6	0.677460161653288	0.0415221813870436	-0.00567222265547929	0.627	0.209	True	0.0	False	6.54440388337951e-05	False	0.0	ENSG00000245648
awhole	75	86	0.484118113386591	0.0147705393353698	0.00650884111385941	0.599	0.23	True	0.003	False	0.0029276580842057	False	0.0	ENSG00000236753
chr2	6	1	0.279702334403275	0.078896949514763	-0.0651278686035139	0.24	0.382	False	0.0	False	8.35831372059115e-05	False	0.0	ENSG00000239523
awhole	54	98	0.28954002096389897	0.0284826356446333	0.0367444225618936	0.196	0.418	False	0.001	False	0.00500135168235549	False	0.0	ENSG00000232611
